Run	Condition	BioReplicate
guot_L160307_sw_liver1.mzML	normal	1
guot_L160307_sw_liver10.mzML	normal	2
guot_L160307_sw_liver11.mzML	normal	3
guot_L160307_sw_liver12.mzML	tumor	1
guot_L160307_sw_liver13.mzML	tumor	2
guot_L160307_sw_liver14.mzML	tumor	3
guot_L160307_sw_liver15.mzML	tumor	4
guot_L160307_sw_liver16.mzML	tumor	5
guot_L160307_sw_liver17.mzML	tumor	6
guot_L160307_sw_liver18.mzML	tumor	7
guot_L160307_sw_liver19.mzML	tumor	8
guot_L160307_sw_liver2.mzML	normal	4
guot_L160307_sw_liver20.mzML	tumor	9
guot_L160307_sw_liver21.mzML	tumor	10
guot_L160307_sw_liver22.mzML	tumor	11
guot_L160307_sw_liver23.mzML	normal	5
guot_L160307_sw_liver24.mzML	normal	6
guot_L160307_sw_liver25.mzML	normal	7
guot_L160307_sw_liver26.mzML	normal	8
guot_L160307_sw_liver27.mzML	normal	9
guot_L160307_sw_liver28.mzML	normal	10
guot_L160307_sw_liver29.mzML	normal	11
guot_L160307_sw_liver3.mzML	normal	12
guot_L160307_sw_liver30.mzML	normal	13
guot_L160307_sw_liver31.mzML	tumor	12
guot_L160307_sw_liver32.mzML	tumor	13
guot_L160307_sw_liver33.mzML	tumor	14
guot_L160307_sw_liver34.mzML	tumor	15
guot_L160307_sw_liver35.mzML	tumor	16
guot_L160307_sw_liver36.mzML	tumor	17
guot_L160307_sw_liver37.mzML	tumor	18
guot_L160307_sw_liver38.mzML	tumor	19
guot_L160307_sw_liver39.mzML	normal	14
guot_L160307_sw_liver4.mzML	normal	15
guot_L160307_sw_liver40.mzML	normal	16
guot_L160307_sw_liver41.mzML	normal	17
guot_L160307_sw_liver42.mzML	normal	18
guot_L160307_sw_liver43.mzML	normal	19
guot_L160307_sw_liver44.mzML	normal	20
guot_L160307_sw_liver45.mzML	normal	21
guot_L160307_sw_liver46.mzML	normal	22
guot_L160307_sw_liver47.mzML	normal	23
guot_L160307_sw_liver48.mzML	normal	24
guot_L160307_sw_liver49.mzML	normal	25
guot_L160307_sw_liver5.mzML	normal	26
guot_L160307_sw_liver50.mzML	tumor	20
guot_L160307_sw_liver51.mzML	tumor	21
guot_L160307_sw_liver52.mzML	tumor	22
guot_L160307_sw_liver53.mzML	tumor	23
guot_L160307_sw_liver54.mzML	tumor	24
guot_L160307_sw_liver55.mzML	tumor	25
guot_L160307_sw_liver56.mzML	tumor	26
guot_L160307_sw_liver57.mzML	tumor	27
guot_L160307_sw_liver58.mzML	tumor	28
guot_L160307_sw_liver59.mzML	tumor	29
guot_L160307_sw_liver6.mzML	normal	27
guot_L160307_sw_liver60.mzML	tumor	30
guot_L160307_sw_liver61.mzML	normal	28
guot_L160307_sw_liver62.mzML	normal	29
guot_L160307_sw_liver63.mzML	normal	30
guot_L160307_sw_liver64.mzML	normal	31
guot_L160307_sw_liver65.mzML	normal	32
guot_L160307_sw_liver66.mzML	normal	33
guot_L160307_sw_liver67.mzML	normal	34
guot_L160307_sw_liver68.mzML	normal	35
guot_L160307_sw_liver69.mzML	tumor	31
guot_L160307_sw_liver7.mzML	normal	36
guot_L160307_sw_liver70.mzML	tumor	32
guot_L160307_sw_liver71.mzML	tumor	33
guot_L160307_sw_liver72.mzML	tumor	34
guot_L160307_sw_liver73.mzML	tumor	35
guot_L160307_sw_liver74.mzML	tumor	36
guot_L160307_sw_liver75.mzML	tumor	37
guot_L160307_sw_liver76.mzML	tumor	38
guot_L160307_sw_liver8.mzML	normal	37
guot_L160307_sw_liver9.mzML	normal	38
